Company,ISIN,NSE,BSE,Category
Apollo Tyres Ltd,INE438A01022,APOLLOTYRE,APOLLOTYRE,Small Cap
ACC Ltd,INE012A01025,ACC,ACC,Small Cap
ZF Commercial Vehicle Control Systems India Limited,INE342J01019,ZFCVINDIA,ZFCVINDIA,Small Cap
Aditya Birla Sun Life AMC Limited,INE404A01024,ABSLAMC,ABSLAMC,Small Cap
Krishna Institute of Medical Sciences Limited,INE967H01025,KIMS,KIMS,Small Cap
ITI Limited (Indian Teleph.Ind.Ltd),INE248A01017,ITI,ITI,Small Cap
Anand Rathi Wealth Limited,INE463V01026,ANANDRATHI,ANANDRATHI,Small Cap
Motherson Sumi Wiring India Limited,INE0FS801015,MSUMI,MSUMI,Small Cap
Welspun Corp Limited,INE191B01025,WELCORP,WELCORP,Small Cap
INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,INE115Q01022,IKS,IKS,Small Cap
Central Depository Services (India) Ltd.,INE736A01011,CDSL,,Small Cap
Force Motors Limited,INE451A01017,FORCEMOT,FORCEMOT,Small Cap
Himadri Speciality Chemical Ltd.,INE019C01026,HSCL,HSCL,Small Cap
NBCC (India) Limited,INE095N01031,NBCC,NBCC,Small Cap
Gillette India Ltd.,INE322A01010,GILLETTE,GILLETTE,Small Cap
Brookfield India Real Estate Trust,INE0FDU25010,BIRET,BIRET,Small Cap
PTC Industries Ltd.,INE596F01018,PTCIL,PTCIL,Small Cap
Tata Technologies Limited,INE142M01025,TATATECH,TATATECH,Small Cap
ANGEL ONE LIMITED,INE732I01021,ANGELONE,ANGELONE,Small Cap
AWL AGRI BUSINESS LIMITED,INE699H01024,AWL,AWL,Small Cap
Aegis Logistics Ltd.,INE208C01025,AEGISLOG,AEGISLOG,Small Cap
Amber Enterprises India Limited,INE371P01015,AMBER,AMBER,Small Cap
IRB Infrastructure Developers Limited,INE821I01022,IRB,IRB,Small Cap
Nuvama Wealth Management Limited,INE531F01023,NUVAMA,NUVAMA,Small Cap
Timken India Ltd,INE325A01013,TIMKEN,TIMKEN,Small Cap
The New India Assurance Company Limited,INE470Y01017,NIACL,NIACL,Small Cap
Manappuram Finance Limited,INE522D01027,MANAPPURAM,MANAPPURAM,Small Cap
Aditya Infotech Limited,INE819V01029,CPPLUS,CPPLUS,Small Cap
Dr. Lal Pathlabs Limited,INE600L01024,LALPATHLAB,LALPATHLAB,Small Cap
KAYNES TECHNOLOGY INDIA LIMITED,INE918Z01012,KAYNES,KAYNES,Small Cap
Wockhardt Ltd,INE049B01025,WOCKPHARMA,WOCKPHARMA,Small Cap
Shyam Metalics and Energy Limited,INE810G01011,SHYAMMETL,SHYAMMETL,Small Cap
PNB Housing Finance Limited,INE572E01012,PNBHOUSING,PNBHOUSING,Small Cap
Nexus Select Trust,INE0NDH25011,NXST,NXST,Small Cap
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,INE839M01018,SCHNEIDER,SCHNEIDER,Small Cap
The Ramco Cements Limited,INE331A01037,RAMCOCEM,RAMCOCEM,Small Cap
Indraprashtha Gas Ltd.,INE203G01027,IGL,IGL,Small Cap
AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,AEGISVOPAK,AEGISVOPAK,Small Cap
Tenneco Clean Air India Limited,INE19RI01016,TENNIND,TENNIND,Small Cap
Asahi India Glass Ltd.,INE439A01020,ASAHIINDIA,ASAHIINDIA,Small Cap
KPIT Technologies Ltd,INE04I401011,KPITTECH,KPITTECH,Small Cap
KIOCL Limited,INE880L01014,KIOCL,KIOCL,Small Cap
Kirloskar Oil Engines Limited,INE146L01010,KIRLOSENG,KIRLOSENG,Small Cap
SUN TV NETWORK LIMITED,INE424H01027,SUNTV,SUNTV,Small Cap
Deepak Nitrite Limited,INE288B01029,DEEPAKNTR,DEEPAKNTR,Small Cap
CESC Limited,INE486A01021,CESC,CESC,Small Cap
Pfizer Ltd.,INE182A01018,PFIZER,PFIZER,Small Cap
SUMITOMO CHEMICAL INDIA LIMITED,INE258G01013,SUMICHEM,SUMICHEM,Small Cap
Sai Life Sciences Limited,INE570L01029,SAILIFE,SAILIFE,Small Cap
IIFL FINANCE LIMITED,INE530B01024,IIFL,IIFL,Small Cap
PIRAMAL PHARMA LIMITED,INE0DK501011,PPLPHARMA,PPLPHARMA,Small Cap
Pine Labs Limited,INE15B701018,PINELABS,PINELABS,Small Cap
AstraZeneca Pharma India Ltd.,INE203A01020,ASTRAZEN,ASTRAZEN,Small Cap
HBL ENGINEERING LIMITED,INE292B01021,HBLENGINE,HBLENGINE,Small Cap
AFFLE 3I LIMITED,INE00WC01027,AFFLE,AFFLE,Small Cap
